Ref,Qty,Component,Value,Description,Footprint,Supplier,Part Number,Unit Cost,Total Cost
U1,2,Microcontroller,ESP32 DevKitC,ESP32 development board with USB-C (2x devices),DevKit,AliExpress/Amazon,-,$10.00,$20.00
U2,2,NFC Reader,PN532,NFC/RFID module with I2C interface (2x devices),Module,AliExpress,PN532-I2C,$6.00,$12.00
SW1,1,Tactile Switch,12mm,Push button for pause/play control (Device 2 only),THT 12mm,Local,-,$0.50,$0.50
R1,2,Potentiometer,10kΩ,Linear potentiometer for volume control (2x devices),PCB mount,Local,-,$1.50,$3.00
BZ1,2,Passive Buzzer,5V,Passive piezo buzzer for audio feedback (2x devices),THT,Local,-,$0.80,$1.60
Q1,2,MOSFET,2N7000,N-Channel logic-level MOSFET (60V 200mA) (2x devices),TO-92,DigiKey,2N7000,$0.30,$0.60
D1,2,Schottky Diode,1N5818,Flyback protection diode (30V 1A) (2x devices),DO-41,DigiKey,1N5818,$0.20,$0.40
-,2,Breadboard,830 point,Solderless breadboard for prototyping (2x devices),-,Local,-,$3.00,$6.00
-,1,Jumper Wire Kit,M-M/M-F,Assorted jumper wires (shared),-,Amazon,-,$3.00,$3.00
-,150,NFC Tags,NTAG215,30mm circular NFC stickers on roll,-,Amazon,-,$20.00,$20.00
-,2,USB-C Cable,1m,USB-C cable for programming and power (2x devices),-,Local,-,$3.00,$6.00
,,,,,,,TOTAL:,$73.10
